コード,カテゴリ,章,項目名（日本語）,項目名（英語）,定義・詳細解説
b265,心身機能,第2章 感覚機能と痛み,触覚機能,Touch function,触覚、圧覚、質感の識別。手指の巧緻性（d440）の基盤となる。
b270,心身機能,第2章 感覚機能と痛み,温度とその他の刺激に関連する感覚,Sensory functions related to temperature,温覚、冷覚、振動覚、痒みなど。感覚過敏（HSP等）の文脈で重要度が増している。
b279,心身機能,第2章 感覚機能と痛み,その他の感覚機能その他,Additional sensory functions other,
b280,心身機能,第2章 感覚機能と痛み,痛み,Sensation of pain,身体の一部または複数部位における不快な感覚。侵害受容性疼痛、神経障害性疼痛、心因性疼痛を含む包括的概念。
b289,心身機能,第2章 感覚機能と痛み,痛みその他,Sensation of pain other,
b310,心身機能,第3章 音声と発話の機能,音声機能,Voice functions,発声、声の質、高さ、大きさ、共鳴。嗄声（Hoarseness）や失声が含まれる。
b320,心身機能,第3章 音声と発話の機能,構音機能,Articulation functions,語音を作り出すための口腔器官の動き。構音障害（Dysarthria）は明瞭度を低下させる。
b330,心身機能,第3章 音声と発話の機能,発話の流暢性とリズムの機能,Fluency and rhythm of speech functions,吃音（Stuttering）、頻脈症、遅言症。心理的ストレスにより変動しやすい特性を持つ。
b340,心身機能,第3章 音声と発話の機能,代替的発声機能,Alternative vocalization functions,声帯以外を用いた発声（食道発声、人工喉頭など）。喉頭摘出後のコミュニケーション手段。
b349,心身機能,第3章 音声と発話の機能,音声と発話の機能その他,Voice and speech functions other,
b410,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,心臓機能,Heart functions,心拍数、リズム、収縮力。不整脈や心不全の状態を示す。
b415,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,血管機能,Blood vessel functions,動脈・静脈・毛細血管の輸送機能。動脈硬化や閉塞性動脈硬化症など。
b420,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,血圧機能,Blood pressure functions,血圧の維持と調整。高血圧症、起立性低血圧（めまいや転倒のリスク）。
b430,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,血液系機能,Haematological system functions,血液産生、酸素運搬、凝固。貧血による易疲労性などは就労に影響する。
b435,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,免疫系機能,Immunological system functions,感染防御、アレルギー、自己免疫。易感染状態や化学物質過敏症など。
b440,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,呼吸機能,Respiration functions,換気、ガス交換。COPDや喘息発作のリスク管理に関連。
b445,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,呼吸筋機能,Respiratory muscle functions,横隔膜や肋間筋の機能。神経筋疾患における呼吸不全の要因。
b450,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,運動耐容能,Exercise tolerance functions,持久力、有酸素能力。リハビリテーションや復職支援における身体的基礎体力の指標。
b455,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,運動耐容能に関連する感覚,Sensations associated with exercise,息切れ、動悸、疲労感。客観的な数値（b450）と主観的な感覚の乖離も含めて評価する。
b460,心身機能,第4章 心血管系・血液系・免疫系・呼吸器系の機能,心血管系と呼吸器系に関連する感覚,Sensations associated with cardiovascular,胸痛、不整脈の自覚など。
b510,心身機能,第5章 消化器系・代謝系・内分泌系の機能,摂食機能,Ingestion functions,食物の取り込み、口腔内操作。摂食嚥下障害の口腔期。
b515,心身機能,第5章 消化器系・代謝系・内分泌系の機能,消化機能,Digestive functions,嚥下後の輸送、分解、吸収。逆流性食道炎や胃切除後のダンピング症候群など。
b520,心身機能,第5章 消化器系・代謝系・内分泌系の機能,同化機能,Assimilation functions,栄養素の利用。栄養失調やカヘキシア。
b525,心身機能,第5章 消化器系・代謝系・内分泌系の機能,排便機能,Defecation functions,便の排出制御。人工肛門（ストマ）造設者の管理能力は社会参加の鍵となる。
b530,心身機能,第5章 消化器系・代謝系・内分泌系の機能,体重維持機能,Weight maintenance functions,適切なBMIの維持。肥満や痩せ。
b535,心身機能,第5章 消化器系・代謝系・内分泌系の機能,消化器系に関連する感覚,Sensations associated with the digestive,腹痛、膨満感、吐き気、胸焼け。QOL低下の主要因。
b540,心身機能,第5章 消化器系・代謝系・内分泌系の機能,一般代謝機能,General metabolic functions,基礎代謝、糖・脂質代謝。糖尿病管理は長期的な健康維持に必須。
b545,心身機能,第5章 消化器系・代謝系・内分泌系の機能,水分・ミネラル・電解質バランス機能,Water mineral and electrolyte balance,脱水、浮腫、電解質異常。透析患者の水分管理など。
b550,心身機能,第5章 消化器系・代謝系・内分泌系の機能,体温調節機能,Thermoregulatory functions,体温の維持。自律神経障害による体温調節困難など。
b555,心身機能,第5章 消化器系・代謝系・内分泌系の機能,内分泌腺機能,Endocrine gland functions,ホルモン分泌。甲状腺機能障害による活動性低下や精神症状への影響。
b610,心身機能,第6章 尿路・性・生殖の機能,尿生成機能,Urinary excretory functions,腎臓による尿の濾過と生成。腎不全の程度を示す。
b620,心身機能,第6章 尿路・性・生殖の機能,排尿機能,Urination functions,蓄尿と排尿。神経因性膀胱による尿失禁や頻尿は、外出や就労の大きな心理的バリアとなる。
b630,心身機能,第6章 尿路・性・生殖の機能,尿路機能に関連する感覚,Sensations associated with urinary,尿意、残尿感、排尿痛。
b640,心身機能,第6章 尿路・性・生殖の機能,性機能,Sexual functions,性欲、勃起、射精、潤滑、オーガズムなど、性行為の精神的・身体的側面。脊髄損傷者等のQOLにおいて極めて重要。
b650,心身機能,第6章 尿路・性・生殖の機能,月経機能,Menstruation functions,月経周期の規則性、月経量、月経前症候群（PMS）。女性の就労継続支援における重要な健康課題。
b660,心身機能,第6章 尿路・性・生殖の機能,生殖機能,Procreation functions,受胎、妊娠、分娩。不妊治療と就労の両立支援などの文脈で関連。
b670,心身機能,第6章 尿路・性・生殖の機能,性器と生殖機能に関連する感覚,Sensations associated with genital,性交痛、月経痛（Dysmenorrhea）、陣痛など。
b710,心身機能,第7章 神経筋骨格と運動に関連する機能,関節可動域機能,Mobility of joint functions,関節の動く範囲（ROM）。拘縮による可動域制限はADL動作の阻害要因となる。
b715,心身機能,第7章 神経筋骨格と運動に関連する機能,関節安定性機能,Stability of joint functions,関節の構造的維持。脱臼、亜脱臼、ルーズニング（動揺関節）。
b720,心身機能,第7章 神経筋骨格と運動に関連する機能,骨の可動性機能,Mobility of bone functions,肩甲骨や骨盤など、関節以外の骨の動き。
b729,心身機能,第7章 神経筋骨格と運動に関連する機能,関節と骨の機能その他,Functions of the joints and bones other,
b730,心身機能,第7章 神経筋骨格と運動に関連する機能,筋力機能,Muscle power functions,筋肉の収縮力。麻痺や廃用症候群による筋力低下（MMTで評価）。
b735,心身機能,第7章 神経筋骨格と運動に関連する機能,筋緊張機能,Muscle tone functions,安静時および運動時の筋肉の緊張。痙縮（Spasticity）、固縮（Rigidity）、低緊張（Hypotonia）。
b740,心身機能,第7章 神経筋骨格と運動に関連する機能,筋持久力機能,Muscle endurance functions,筋肉の持続的な収縮能力。反復作業の持続性に影響。
b749,心身機能,第7章 神経筋骨格と運動に関連する機能,筋肉の機能その他,Muscle functions other,
b750,心身機能,第7章 神経筋骨格と運動に関連する機能,運動反射機能,Motor reflex functions,脊髄反射等の不随意的な運動反応。腱反射の亢進・消失、病的反射の出現。
b755,心身機能,第7章 神経筋骨格と運動に関連する機能,不随意運動反応機能,Involuntary movement reaction functions,姿勢反射、平衡反応、立ち直り反応。転倒防止のための自動的な身体制御。
b760,心身機能,第7章 神経筋骨格と運動に関連する機能,随意運動制御機能,Control of voluntary movement functions,意図的な運動のコントロール、協調性。運動失調（Ataxia）や巧緻動作障害など。
b765,心身機能,第7章 神経筋骨格と運動に関連する機能,不随意運動機能,Involuntary movement functions,意図しない運動の出現。振戦（Tremor）、ジストニア、チック、舞踏運動など。
b770,心身機能,第7章 神経筋骨格と運動に関連する機能,歩行パターン機能,Gait pattern functions,歩容（Gait）。片麻痺歩行、失調性歩行、小刻み歩行など、歩行の「質」を記述。
b780,心身機能,第7章 神経筋骨格と運動に関連する機能,筋肉および運動機能に関連する感覚,Sensations related to muscles,筋肉痛、こわばり感、重だるさ。線維筋痛症などの評価に関連。
b789,心身機能,第7章 神経筋骨格と運動に関連する機能,運動機能その他,Movement functions other,
b810,心身機能,第8章 皮膚および関連する構造の機能,皮膚の保護機能,Protective functions of the skin,日光、物理的刺激、乾燥などから身体を守る機能。
b820,心身機能,第8章 皮膚および関連する構造の機能,皮膚の修復機能,Repair functions of the skin,創傷治癒、痂皮形成。褥瘡（床ずれ）や糖尿病性壊疽の治癒過程に関連。
b830,心身機能,第8章 皮膚および関連する構造の機能,皮膚のその他の機能,Other functions of the skin,発汗、皮脂分泌。体温調節や皮膚の潤い維持。多汗症や無汗症。
b840,心身機能,第8章 皮膚および関連する構造の機能,皮膚に関連する感覚,Sensation related to the skin,痒み（Itching）、皮膚のつっぱり感、ヒリヒリ感。
b850,心身機能,第8章 皮膚および関連する構造の機能,毛の機能,Functions of hair,毛の成長、脱毛、色素変化。円形脱毛症や化学療法による脱毛など。
b860,心身機能,第8章 皮膚および関連する構造の機能,爪の機能,Functions of nails,爪の成長、形状、強度。爪白癬や巻き爪による痛みは歩行（d450）を阻害する。
s110,身体構造,第1章 神経系の構造,脳の構造,Structure of brain,大脳、小脳、脳幹。脳卒中、脳腫瘍、TBIの病巣部位。
s120,身体構造,第1章 神経系の構造,脊髄および関連構造,Spinal cord and related structures,脊髄、脊髄神経根。脊髄損傷のレベル（C頸髄、T胸髄、L腰髄）を特定。
s130,身体構造,第1章 神経系の構造,髄膜の構造,Structure of meninges,硬膜、くも膜、軟膜。
s140,身体構造,第1章 神経系の構造,交感神経系の構造,Structure of sympathetic nervous system,自律神経節など。
s150,身体構造,第1章 神経系の構造,副交感神経系の構造,Structure of parasympathetic nervous system,迷走神経など。
s210,身体構造,第2章 眼・耳および関連部位の構造,眼窩の構造,Structure of eye socket,眼球を収める骨格。
s220,身体構造,第2章 眼・耳および関連部位の構造,眼球の構造,Structure of eyeball,角膜、水晶体、網膜、硝子体。白内障や網膜剥離の部位。
s230,身体構造,第2章 眼・耳および関連部位の構造,眼球周辺の構造,Structures around eye,涙腺、眼瞼、外眼筋。
s240,身体構造,第2章 眼・耳および関連部位の構造,外耳の構造,Structure of external ear,耳介、外耳道。小耳症や外耳道閉鎖。
s250,身体構造,第2章 眼・耳および関連部位の構造,中耳の構造,Structure of middle ear,鼓膜、耳小骨。中耳炎による損傷。
s260,身体構造,第2章 眼・耳および関連部位の構造,内耳の構造,Structure of inner ear,蝸牛、前庭、半規管。感音性難聴の病変部。
s310,身体構造,第3章 音声と発話に関わる構造,鼻の構造,Structure of nose,鼻腔、鼻中隔。
s320,身体構造,第3章 音声と発話に関わる構造,口の構造,Structure of mouth,歯、歯肉、舌、口蓋。口蓋裂などの構造的欠損。
s330,身体構造,第3章 音声と発話に関わる構造,咽頭の構造,Structure of pharynx,嚥下と発声の通り道。
s340,身体構造,第3章 音声と発話に関わる構造,喉頭の構造,Structure of larynx,声帯。ポリープや癌による切除。
s410,身体構造,第4章 心血管系・免疫系・呼吸器系の構造,心血管系の構造,Structure of cardiovascular system,心臓（心房・心室・弁）、血管。弁膜症や血管奇形。
s420,身体構造,第4章 心血管系・免疫系・呼吸器系の構造,免疫系の構造,Structure of immune system,リンパ節、胸腺、脾臓、骨髄。
s430,身体構造,第4章 心血管系・免疫系・呼吸器系の構造,呼吸器系の構造,Structure of respiratory system,気管、気管支、肺（肺胞）、胸郭。肺切除や肺気腫による破壊。
s510,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,唾液腺の構造,Structure of salivary glands,耳下腺、顎下腺。
s520,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,食道の構造,Structure of oesophagus,食道癌術後の構造変化など。
s530,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,胃の構造,Structure of stomach,胃切除（全摘・部分切除）。
s540,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,腸の構造,Structure of intestine,小腸、大腸。ストマ造設による構造変化。
s550,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,膵臓の構造,Structure of pancreas,
s560,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,肝臓の構造,Structure of liver,肝硬変による線維化。
s570,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,胆嚢と胆管の構造,Structure of gallbladder and ducts,
s580,身体構造,第5章 消化器系・代謝系・内分泌系に関連した構造,内分泌腺の構造,Structure of endocrine glands,甲状腺、副腎、下垂体。
s610,身体構造,第6章 尿路性器系および生殖系に関連した構造,尿路系の構造,Structure of urinary system,腎臓、尿管、膀胱、尿道。腎摘出や膀胱拡大術。
s620,身体構造,第6章 尿路性器系および生殖系に関連した構造,骨盤底の構造,Structure of pelvic floor,骨盤底筋群。臓器脱など。
s630,身体構造,第6章 尿路性器系および生殖系に関連した構造,生殖器系の構造,Structure of reproductive system,卵巣、子宮、精巣、前立腺。子宮筋腫や前立腺肥大。
s710,身体構造,第7章 運動に関連した構造,頭頸部の構造,Structure of head and neck region,頭蓋骨、顔面骨、頸椎。
s720,身体構造,第7章 運動に関連した構造,肩部の構造,Structure of shoulder region,鎖骨、肩甲骨。
s730,身体構造,第7章 運動に関連した構造,上肢の構造,Structure of upper extremity,上腕、前腕、手、指。切断や欠損の記述に重要。
s740,身体構造,第7章 運動に関連した構造,骨盤部の構造,Structure of pelvic region,寛骨、仙骨、尾骨。
s750,身体構造,第7章 運動に関連した構造,下肢の構造,Structure of lower extremity,大腿、下腿、足、趾。義足適用のための断端形状など。
s760,身体構造,第7章 運動に関連した構造,体幹の構造,Structure of trunk,脊柱（胸椎・腰椎）、肋骨。側弯症や脊柱管狭窄。
s770,身体構造,第7章 運動に関連した構造,その他の筋骨格構造,Additional musculoskeletal structures,詳細不明な骨、関節、筋肉、靭帯など。
s810,身体構造,第8章 皮膚および関連部位の構造,皮膚の各部の構造,Structure of areas of skin,表皮、真皮、皮下組織。熱傷範囲の特定。
s820,身体構造,第8章 皮膚および関連部位の構造,皮膚の腺の構造,Structure of skin glands,汗腺、脂腺。
s830,身体構造,第8章 皮膚および関連部位の構造,爪の構造,Structure of nails,爪の変形や欠損。
s840,身体構造,第8章 皮膚および関連部位の構造,毛の構造,Structure of hair,毛包の構造。
d110,活動と参加,第1章 学習と知識の応用,見ること,Watching,意図的に視覚刺激を捉える活動。
d115,活動と参加,第1章 学習と知識の応用,聞くこと,Listening,意図的に聴覚刺激を捉える活動。音楽鑑賞や講義の聴取。
d120,活動と参加,第1章 学習と知識の応用,その他の意図的な感覚的知覚,Other purposeful sensing,触れる、嗅ぐ、味わうなど、探索的な感覚活動。
d130,活動と参加,第1章 学習と知識の応用,模倣,Copying,他者の行為をまねる。学習の初期段階。
d135,活動と参加,第1章 学習と知識の応用,リハーサル,Rehearsing,練習、反復。技能定着のためのプロセス。
d140,活動と参加,第1章 学習と知識の応用,読むこと,Reading,文字情報の解読と理解。識字能力だけでなく、ディスレクシア等の評価に関連。
d145,活動と参加,第1章 学習と知識の応用,書くこと,Writing,文字やシンボルを生成する。書字障害（Dysgraphia）の評価。
d150,活動と参加,第1章 学習と知識の応用,計算すること,Calculating,数値を操作し解を導く。日常生活での金銭計算など。
d155,活動と参加,第1章 学習と知識の応用,技能の習得,Acquiring skills,新しい複雑な動作や手順を身につけること。
d160,活動と参加,第1章 学習と知識の応用,注意を集中すること,Focusing attention,特定の刺激に意図的に焦点を合わせ続ける活動。
d163,活動と参加,第1章 学習と知識の応用,考えること,Thinking,アイディアや概念を操作し、定式化する。
d170,活動と参加,第1章 学習と知識の応用,問題を解決すること,Solving problems,解を見つけるための認知プロセス。
d172,活動と参加,第1章 学習と知識の応用,決断すること,Making decisions,選択肢から選び、決定を下す。自己決定権の行使の中核。
d175,活動と参加,第1章 学習と知識の応用,問題を解決すること（複雑）,Solving complex problems,複数の要因が絡む問題の解決。
d177,活動と参加,第1章 学習と知識の応用,意思決定,Making decisions complex,d172の詳細化。
d210,活動と参加,第2章 一般的な課題と要求,一つの課題を行うこと,Undertaking a single task,単一の単純または複雑な課題を開始し、維持し、完了する。
d220,活動と参加,第2章 一般的な課題と要求,多重課題を行うこと,Undertaking multiple tasks,複数の課題を同時並行、または順序立てて遂行する（マルチタスク）。
d230,活動と参加,第2章 一般的な課題と要求,日課を遂行すること,Carrying out daily routine,1日のスケジュールを管理し、計画通りに行動する。生活リズムの確立。
d240,活動と参加,第2章 一般的な課題と要求,ストレスやその他の心理的な要求に対処すること,Handling stress and other psychological demands,責任、圧力、時間的切迫、危機的状況下での適切な対処。
d310,活動と参加,第3章 コミュニケーション,話し言葉によるメッセージの理解,Communicating with receiving spoken messages,音声言語を聞いて理解する。
d315,活動と参加,第3章 コミュニケーション,非言語的メッセージの理解,Communicating with receiving nonverbal messages,表情、身振り、絵記号の理解。
d320,活動と参加,第3章 コミュニケーション,形式的手話によるメッセージの理解,Communicating with receiving formal sign language,手話の読み取り。
d325,活動と参加,第3章 コミュニケーション,書き言葉によるメッセージの理解,Communicating with receiving written messages,文書情報の理解。
d330,活動と参加,第3章 コミュニケーション,話すこと,Speaking,音声言語による表出。
d335,活動と参加,第3章 コミュニケーション,非言語的メッセージの表出,Producing nonverbal messages,ジェスチャーや表情を用いた伝達。
d340,活動と参加,第3章 コミュニケーション,形式的手話によるメッセージの表出,Producing messages in formal sign language,手話による表現。
d345,活動と参加,第3章 コミュニケーション,書くこと,Writing messages,文章作成による伝達。
d350,活動と参加,第3章 コミュニケーション,会話,Conversation,相手との交互のやり取りを開始し、維持し、終了する。
d355,活動と参加,第3章 コミュニケーション,議論,Discussion,論点を伴う対話。意見の相違を調整する能力。
d360,活動と参加,第3章 コミュニケーション,通信機器・用具の使用,Using communication devices,電話、スマホ、PC、AAC機器の使用。
d410,活動と参加,第4章 運動・移動,基本的な身体位を変えること,Changing basic body position,寝返り、起き上がり、立ち上がり、しゃがみ込み。
d415,活動と参加,第4章 運動・移動,身体位を維持すること,Maintaining a body position,座位保持、立位保持。
d420,活動と参加,第4章 運動・移動,移乗すること,Transferring oneself,車椅子からベッド、トイレ、車座席への移動。
d430,活動と参加,第4章 運動・移動,物を持ち運び移動させること,Lifting and carrying objects,荷物を持つ、運ぶ。
d435,活動と参加,第4章 運動・移動,下肢で物を動かすこと,Moving objects with lower extremities,蹴る、ペダル操作。
d440,活動と参加,第4章 運動・移動,手先の細かな使用,Fine hand use,つまむ、握る、操る。箸の使用、キーボード入力。
d445,活動と参加,第4章 運動・移動,手と腕の使用,Hand and arm use,引く、押す、回す、投げる。
d450,活動と参加,第4章 運動・移動,歩行,Walking,短距離、長距離、平地、不整地での歩行。
d455,活動と参加,第4章 運動・移動,移動すること,Moving around,這う、登る、走る、泳ぐなど、歩行以外の移動形態。
d460,活動と参加,第4章 運動・移動,様々な場所での移動,Moving around in different locations,家庭内、建物内、屋外での移動。
d465,活動と参加,第4章 運動・移動,用具を用いた移動,Moving around using equipment,車椅子、スケート、スキーなどを用いた移動。
d470,活動と参加,第4章 運動・移動,交通機関を利用すること,Using transportation,バス、電車、タクシー、自家用車の乗客としての利用。
d475,活動と参加,第4章 運動・移動,乗り物を運転すること,Driving,自動車、自転車、車椅子の運転・操作。
d480,活動と参加,第4章 運動・移動,動物に乗って移動すること,Riding animals for transportation,乗馬など。
d510,活動と参加,第5章 セルフケア,体を洗うこと,Washing oneself,入浴、シャワー、手洗い。清潔保持は社会的受容の前提。
d520,活動と参加,第5章 セルフケア,体の各部の手入れ,Caring for body parts,歯磨き、整髪、爪切り、化粧。
d530,活動と参加,第5章 セルフケア,排泄,Toileting,トイレ動作、月経の処理、ストマ管理。
d540,活動と参加,第5章 セルフケア,更衣,Dressing,場面に応じた衣服の選択と着脱。
d550,活動と参加,第5章 セルフケア,食べること,Eating,食物を口に運び、摂取する動作。
d560,活動と参加,第5章 セルフケア,飲むこと,Drinking,飲み物を摂取する。
d570,活動と参加,第5章 セルフケア,自分の健康管理,Looking after ones health,服薬管理、食事療法、運動、感染予防、避妊、危険回避。
d610,活動と参加,第6章 家庭生活,住居の獲得,Acquiring a place to live,住む場所を見つけ、契約し、維持する。
d620,活動と参加,第6章 家庭生活,物品とサービスの獲得,Acquisition of goods and services,買い物、サービスの注文。
d630,活動と参加,第6章 家庭生活,食事の準備,Preparing meals,メニュー計画、調理、配膳。
d640,活動と参加,第6章 家庭生活,家事を行うこと,Doing housework,掃除、洗濯、ゴミ出し、整理整頓。
d650,活動と参加,第6章 家庭生活,家庭用品の手入れ,Caring for household objects,家電の修理、家具のメンテナンス。
d660,活動と参加,第6章 家庭生活,他者の世話をすること,Assisting others,子育て、家族の介護。障害者が「支援する側（ケアラー）」になる場合も記述。
d710,活動と参加,第7章 対人関係,基本的な対人関係,Basic interpersonal interactions,挨拶、敬意、寛容、感謝を示す。社会的潤滑油としての基本的マナー。
d720,活動と参加,第7章 対人関係,複雑な対人関係,Complex interpersonal interactions,他者の感情の理解、社会的ルールの認識、距離感の調整、対立の解決。
d730,活動と参加,第7章 対人関係,見知らぬ人との関係,Relating with strangers,初対面の人との一時的な関わり。
d740,活動と参加,第7章 対人関係,公的な関係,Formal relationships,権威ある人（上司、警官、医師）との儀礼的な関係。
d750,活動と参加,第7章 対人関係,非公式な社会的関係,Informal social relationships,友人、近所の人、同僚との対等な関係。ソーシャルサポートの基盤。
d760,活動と参加,第7章 対人関係,家族関係,Family relationships,親子、兄弟姉妹との継続的な関係。
d770,活動と参加,第7章 対人関係,親密な関係,Intimate relationships,夫婦、恋人とのロマンチックな、または性的な関係。障害者のセクシュアリティの権利に関連。
d810,活動と参加,第8章 主要な生活領域,非公式な教育,Informal education,家庭内教育、独学、趣味の習い事。生涯学習の観点。
d815,活動と参加,第8章 主要な生活領域,就学前の教育,Preschool education,保育園、幼稚園。発達早期の集団参加。
d820,活動と参加,第8章 主要な生活領域,学校教育,School education,初等・中等教育への入学、通学、課題遂行。インクルーシブ教育の現場。
d825,活動と参加,第8章 主要な生活領域,職業訓練,Vocational training,職業技術の習得。
d830,活動と参加,第8章 主要な生活領域,高等教育,Higher education,大学、専門学校。高度な知識の習得。
d840,活動と参加,第8章 主要な生活領域,就労準備（見習い）,Apprenticeship work preparation,インターンシップ、実習。就労への移行期支援。
d845,活動と参加,第8章 主要な生活領域,仕事の獲得・維持・終了,Acquiring keeping and terminating a job,就職活動、職場定着、離職・解雇への対処。キャリア・レジリエンス。
d850,活動と参加,第8章 主要な生活領域,報酬を伴う仕事,Remunerative employment,被雇用、自営業。経済的自立の手段。
d855,活動と参加,第8章 主要な生活領域,無報酬の仕事,Non-remunerative employment,ボランティア、家事労働、家業の手伝い。金銭以外の社会的価値の創出。
d860,活動と参加,第8章 主要な生活領域,基本的な経済的取引,Basic economic transactions,現金での支払い、お釣りの確認。
